LocationType,Location,Category,TimeFrame,DataFormat,Data
Nation,United States,Emotional abuse,2018,Number,39015
Nation,United States,Medical neglect,2018,Number,15061
Nation,United States,Neglect,2018,Number,504825
Nation,United States,Other/missing maltreatment type,2018,Number,46774
Nation,United States,Physical abuse,2018,Number,120739
Nation,United States,Sexual abuse,2018,Number,60868
Nation,United States,Sexual abuse,2018,Percent,0.09
Nation,United States,Physical abuse,2018,Percent,0.18
Nation,United States,Other/missing maltreatment type,2018,Percent,0.07
Nation,United States,Neglect,2018,Percent,0.75
Nation,United States,Medical neglect,2018,Percent,0.02
Nation,United States,Emotional abuse,2018,Percent,0.06
Nation,United States,Emotional abuse,2015,Percent,0.06
Nation,United States,Medical neglect,2015,Percent,0.02
Nation,United States,Neglect,2015,Percent,0.75
Nation,United States,Other/missing maltreatment type,2015,Percent,0.07
Nation,United States,Physical abuse,2015,Percent,0.17
Nation,United States,Sexual abuse,2015,Percent,0.08
Nation,United States,Emotional abuse,2015,Number,41952
Nation,United States,Medical neglect,2015,Number,14973
Nation,United States,Neglect,2015,Number,511308
Nation,United States,Other/missing maltreatment type,2015,Number,47019
Nation,United States,Physical abuse,2015,Number,116365
Nation,United States,Sexual abuse,2015,Number,56940
Nation,United States,Emotional abuse,2020,Number,39529
Nation,United States,Medical neglect,2020,Number,12148
Nation,United States,Neglect,2020,Number,467920
Nation,United States,Other/missing maltreatment type,2020,Number,36818
Nation,United States,Physical abuse,2020,Number,100928
Nation,United States,Sexual abuse,2020,Number,57641
Nation,United States,Sexual abuse,2020,Percent,0.09
Nation,United States,Physical abuse,2020,Percent,0.16
Nation,United States,Other/missing maltreatment type,2020,Percent,0.06
Nation,United States,Neglect,2020,Percent,0.76
Nation,United States,Medical neglect,2020,Percent,0.02
Nation,United States,Emotional abuse,2020,Percent,0.06
Nation,United States,Emotional abuse,2016,Percent,0.06
Nation,United States,Medical neglect,2016,Percent,0.02
Nation,United States,Neglect,2016,Percent,0.75
Nation,United States,Other/missing maltreatment type,2016,Percent,0.07
Nation,United States,Physical abuse,2016,Percent,0.18
Nation,United States,Sexual abuse,2016,Percent,0.09
Nation,United States,Emotional abuse,2016,Number,37751
Nation,United States,Medical neglect,2016,Number,13921
Nation,United States,Neglect,2016,Number,500059
Nation,United States,Other/missing maltreatment type,2016,Number,46004
Nation,United States,Physical abuse,2016,Number,120672
Nation,United States,Sexual abuse,2016,Number,57064
